Genome ,Coverage,Genes
Iraq-B,1,TPANIC_RS03720
Iraq-B,1,TPANIC_RS03800
Iraq-B,1,TPANIC_RS03805
Iraq-B,1,TPANIC_RS03940
Iraq-B,1,TPANIC_RS04050
Iraq-B,0.9805743,TPANIC_RS04235
Iraq-B,0.9271803,TPANIC_RS04240
Iraq-B,0.9993262,TPANIC_RS04245
Iraq-B,0.9666435,TPANIC_RS04270
Iraq-B,0.7407895,TPANIC_RS04420
Iraq-B,1,TPANIC_RS04710
Iraq-B,1,TPANIC_RS04715
Iraq-B,1,TPANIC_RS04720
Iraq-B,1,TPANIC_RS04760
Iraq-B,1,TPANIC_RS04765
Iraq-B,1,TPANIC_RS04770
Iraq-B,1,TPANIC_RS04775
Iraq-B,1,TPANIC_RS04780
Iraq-B,1,TPANIC_RS04995
Iraq-B,1,TPANIC_RS05015
Iraq-B,1,TPANIC_RS05095
Iraq-B,1,TPANIC_RS05095-377bp-del
Iraq-B,1,TPANIC_RS05130
JUC013,1,TPANIC_RS05525
JUC013,1,TPANIC_RS05530
JUC013,1,TPANIC_RS05535
JUC013,0.9697276,TPANIC_RS00045
JUC013,1,TPANIC_RS00200
JUC013,0.9836066,TPANIC_RS00450
JUC013,0.9805369,TPANIC_RS00560
JUC013,0.9671492,TPANIC_RS00590
JUC013,0.9284649,TPANIC_RS00635
JUC013,0.9849666,TPANIC_RS00665
JUC013,0.8701299,TPANIC_RS00675
JUC013,0.8283186,TPANIC_RS00680
JUC013,0.669805,TPANIC_RS00695
JUC013,0.9766816,TPANIC_RS00795
JUC013,1,TPANIC_RS00830
JUC013,0.9813084,TPANIC_RS00870
JUC013,0.9897196,TPANIC_RS01295
JUC013,0.9920192,TPANIC_RS01455
JUC013,0.9776916,TPANIC_RS01480
JUC013,0.909528,TPANIC_RS01545
JUC013,0.8651592,TPANIC_RS01555 
JUC013,0.9127753,TPANIC_RS01560
JUC013,0.9506566,TPANIC_RS01590
JUC013,0.9324324,TPANIC_RS01595
JUC013,0.9007718,TPANIC_RS02115
JUC013,1,TPANIC_RS02120
JUC013,1,TPANIC_RS02210
JUC013,0.688383,TPANIC_RS02260
JUC013,0.9421965,TPANIC_RS02345
JUC013,0.8939692,TPANIC_RS02370
JUC013,0.9754769,TPANIC_RS02405
JUC013,0.9495798,TPANIC_RS02520
JUC013,0.7998466,TPANIC_RS02695
JUC013,0.9954887,TPANIC_RS02820
JUC013,1,TPANIC_RS02830
JUC013,0.9971167,TPANIC_RS03015
JUC013,0.7769461,TPANIC_RS03060
JUC013,0.9360306,TPANIC_RS03065
JUC013,0.763181,TPANIC_RS03070
JUC013,0.9725956,TPANIC_RS03170
JUC013,0.9441432,TPANIC_RS03175
JUC013,0.9760994,TPANIC_RS03245
JUC013,1,TPANIC_RS03475
JUC013,0.8103186,TPANIC_RS03635
JUC013,0.9895678,TPANIC_RS03715
JUC013,1,TPANIC_RS03720
JUC013,0.9864995,TPANIC_RS03800
JUC013,0.9170932,TPANIC_RS03805
JUC013,0.9678309,TPANIC_RS03940
JUC013,1,TPANIC_RS04050
JUC013,0.7018581,TPANIC_RS04235
JUC013,0.7908552,TPANIC_RS04240
JUC013,0.893531,TPANIC_RS04245
JUC013,0.9110494,TPANIC_RS04270
JUC013,0.8098684,TPANIC_RS04420
JUC013,0.9618949,TPANIC_RS04710
JUC013,1,TPANIC_RS04715
JUC013,0.9420443,TPANIC_RS04720
JUC013,0.8855569,TPANIC_RS04760
JUC013,0.9356085,TPANIC_RS04765
JUC013,0.8633288,TPANIC_RS04770
JUC013,0.9695045,TPANIC_RS04775
JUC013,0.9022802,TPANIC_RS04780
JUC013,1,TPANIC_RS04995
JUC013,1,TPANIC_RS05015
JUC013,0.8955714,TPANIC_RS05095
JUC013,1,TPANIC_RS05095-377bp-del
JUC013,1,TPANIC_RS05130
KM14-7,0.0836957,TPANIC_RS05525
KM14-7,0.7630058,TPANIC_RS05530
KM14-7,0.2387543,TPANIC_RS05535
KM14-7,0.2951564,TPANIC_RS00045
KM14-7,0.438216,TPANIC_RS00200
KM14-7,0.3258197,TPANIC_RS00450
KM14-7,0.5395973,TPANIC_RS00560
KM14-7,0.5818486,TPANIC_RS00590
KM14-7,0.4962742,TPANIC_RS00635
KM14-7,0.6046771,TPANIC_RS00665
KM14-7,0.3571429,TPANIC_RS00675
KM14-7,0.2920354,TPANIC_RS00680
KM14-7,0.3584398,TPANIC_RS00695
KM14-7,0.2529148,TPANIC_RS00795
KM14-7,0.4146868,TPANIC_RS00830
KM14-7,0.6238317,TPANIC_RS00870
KM14-7,0.235514,TPANIC_RS01295
KM14-7,0.4924182,TPANIC_RS01455
KM14-7,0.42871,TPANIC_RS01480
KM14-7,0.6691434,TPANIC_RS01545
KM14-7,0.6783919,TPANIC_RS01555 
KM14-7,0.7462555,TPANIC_RS01560
KM14-7,0.5451651,TPANIC_RS01590
KM14-7,0.4555984,TPANIC_RS01595
KM14-7,0.5099228,TPANIC_RS02115
KM14-7,0.4234042,TPANIC_RS02120
KM14-7,0.3302433,TPANIC_RS02210
KM14-7,0.288854,TPANIC_RS02260
KM14-7,0.5408753,TPANIC_RS02345
KM14-7,0.5175404,TPANIC_RS02370
KM14-7,0.5896458,TPANIC_RS02405
KM14-7,0.5028571,TPANIC_RS02520
KM14-7,0.3466258,TPANIC_RS02695
KM14-7,0.3293233,TPANIC_RS02820
KM14-7,0.5874233,TPANIC_RS02830
KM14-7,0.5040846,TPANIC_RS03015
KM14-7,0.5314371,TPANIC_RS03060
KM14-7,0.6314926,TPANIC_RS03065
KM14-7,0.7341828,TPANIC_RS03070
KM14-7,0.3236815,TPANIC_RS03170
KM14-7,0.2619306,TPANIC_RS03175
KM14-7,0.33174,TPANIC_RS03245
KM14-7,0.255102,TPANIC_RS03475
KM14-7,0.2640364,TPANIC_RS03635
KM14-7,0.3800298,TPANIC_RS03715
KM14-7,0.197756,TPANIC_RS03720
KM14-7,0.3384764,TPANIC_RS03800
KM14-7,0.2374616,TPANIC_RS03805
KM14-7,0.2766544,TPANIC_RS03940
KM14-7,0.3110151,TPANIC_RS04050
KM14-7,0.2744932,TPANIC_RS04235
KM14-7,0.4064352,TPANIC_RS04240
KM14-7,0.1320755,TPANIC_RS04245
KM14-7,0.248089,TPANIC_RS04270
KM14-7,0.4282895,TPANIC_RS04420
KM14-7,0.1668383,TPANIC_RS04710
KM14-7,0.1585603,TPANIC_RS04715
KM14-7,0.2818757,TPANIC_RS04720
KM14-7,0.2998776,TPANIC_RS04760
KM14-7,0.2910496,TPANIC_RS04765
KM14-7,0.2320704,TPANIC_RS04770
KM14-7,0.3691233,TPANIC_RS04775
KM14-7,0.6596091,TPANIC_RS04780
KM14-7,0.4727273,TPANIC_RS04995
KM14-7,0.5410138,TPANIC_RS05015
KM14-7,0.4723893,TPANIC_RS05095
KM14-7,0,TPANIC_RS05095-377bp-del
KM14-7,0.739212,TPANIC_RS05130
Kampung-Dalan-K363,1,TPANIC_RS05525
Kampung-Dalan-K363,1,TPANIC_RS05530
Kampung-Dalan-K363,1,TPANIC_RS05535
Kampung-Dalan-K363,1,TPANIC_RS00045
Kampung-Dalan-K363,1,TPANIC_RS00200
Kampung-Dalan-K363,1,TPANIC_RS00450
Kampung-Dalan-K363,1,TPANIC_RS00560
Kampung-Dalan-K363,0.9287305,TPANIC_RS00590
Kampung-Dalan-K363,1,TPANIC_RS00635
Kampung-Dalan-K363,0.9320713,TPANIC_RS00665
Kampung-Dalan-K363,0.9147727,TPANIC_RS00675
Kampung-Dalan-K363,1,TPANIC_RS00680
Kampung-Dalan-K363,0.7592468,TPANIC_RS00695
Kampung-Dalan-K363,1,TPANIC_RS00795
Kampung-Dalan-K363,1,TPANIC_RS00830
Kampung-Dalan-K363,1,TPANIC_RS00870
Kampung-Dalan-K363,1,TPANIC_RS01295
Kampung-Dalan-K363,1,TPANIC_RS01455
Kampung-Dalan-K363,1,TPANIC_RS01480
Kampung-Dalan-K363,1,TPANIC_RS01545
Kampung-Dalan-K363,0.9656616,TPANIC_RS01555 
Kampung-Dalan-K363,1,TPANIC_RS01560
Kampung-Dalan-K363,0.9805014,TPANIC_RS01590
Kampung-Dalan-K363,1,TPANIC_RS01595
Kampung-Dalan-K363,0.8577729,TPANIC_RS02115
Kampung-Dalan-K363,1,TPANIC_RS02120
Kampung-Dalan-K363,1,TPANIC_RS02210
Kampung-Dalan-K363,0.9191523,TPANIC_RS02260
Kampung-Dalan-K363,0.985962,TPANIC_RS02345
Kampung-Dalan-K363,0.9720142,TPANIC_RS02370
Kampung-Dalan-K363,1,TPANIC_RS02405
Kampung-Dalan-K363,1,TPANIC_RS02520
Kampung-Dalan-K363,0.9677914,TPANIC_RS02695
Kampung-Dalan-K363,1,TPANIC_RS02820
Kampung-Dalan-K363,1,TPANIC_RS02830
Kampung-Dalan-K363,1,TPANIC_RS03015
Kampung-Dalan-K363,0.736527,TPANIC_RS03060
Kampung-Dalan-K363,0.9693822,TPANIC_RS03065
Kampung-Dalan-K363,0.78471,TPANIC_RS03070
Kampung-Dalan-K363,1,TPANIC_RS03170
Kampung-Dalan-K363,1,TPANIC_RS03175
Kampung-Dalan-K363,1,TPANIC_RS03245
Kampung-Dalan-K363,1,TPANIC_RS03475
Kampung-Dalan-K363,0.9726859,TPANIC_RS03635
Kampung-Dalan-K363,1,TPANIC_RS03715
Kampung-Dalan-K363,1,TPANIC_RS03720
Kampung-Dalan-K363,1,TPANIC_RS03800
Kampung-Dalan-K363,1,TPANIC_RS03805
Kampung-Dalan-K363,1,TPANIC_RS03940
Kampung-Dalan-K363,1,TPANIC_RS04050
Kampung-Dalan-K363,1,TPANIC_RS04235
Kampung-Dalan-K363,0.9161727,TPANIC_RS04240
Kampung-Dalan-K363,0.9878706,TPANIC_RS04245
Kampung-Dalan-K363,0.9819319,TPANIC_RS04270
Kampung-Dalan-K363,0.7822368,TPANIC_RS04420
Kampung-Dalan-K363,1,TPANIC_RS04710
Kampung-Dalan-K363,1,TPANIC_RS04715
Kampung-Dalan-K363,1,TPANIC_RS04720
Kampung-Dalan-K363,1,TPANIC_RS04760
Kampung-Dalan-K363,0.9993561,TPANIC_RS04765
Kampung-Dalan-K363,1,TPANIC_RS04770
Kampung-Dalan-K363,1,TPANIC_RS04775
Kampung-Dalan-K363,1,TPANIC_RS04780
Kampung-Dalan-K363,1,TPANIC_RS04995
Kampung-Dalan-K363,0.9898617,TPANIC_RS05015
Kampung-Dalan-K363,0.8370695,TPANIC_RS05095
Kampung-Dalan-K363,0,TPANIC_RS05095-377bp-del
Kampung-Dalan-K363,1,TPANIC_RS05130
LMNP-1,1,TPANIC_RS05525
LMNP-1,1,TPANIC_RS05530
LMNP-1,1,TPANIC_RS05535
LMNP-1,1,TPANIC_RS00045
LMNP-1,0.9971358,TPANIC_RS00200
LMNP-1,1,TPANIC_RS00450
LMNP-1,1,TPANIC_RS00560
LMNP-1,0.8919822,TPANIC_RS00590
LMNP-1,1,TPANIC_RS00635
LMNP-1,0.8975501,TPANIC_RS00665
LMNP-1,0.9602273,TPANIC_RS00675
LMNP-1,1,TPANIC_RS00680
LMNP-1,0.7175521,TPANIC_RS00695
LMNP-1,1,TPANIC_RS00795
LMNP-1,1,TPANIC_RS00830
LMNP-1,1,TPANIC_RS00870
LMNP-1,1,TPANIC_RS01295
LMNP-1,1,TPANIC_RS01455
LMNP-1,1,TPANIC_RS01480
LMNP-1,1,TPANIC_RS01545
LMNP-1,0.9271357,TPANIC_RS01555 
LMNP-1,1,TPANIC_RS01560
LMNP-1,0.9876642,TPANIC_RS01590
LMNP-1,1,TPANIC_RS01595
LMNP-1,0.8875414,TPANIC_RS02115
LMNP-1,1,TPANIC_RS02120
LMNP-1,1,TPANIC_RS02210
LMNP-1,0.8634223,TPANIC_RS02260
LMNP-1,0.9777044,TPANIC_RS02345
LMNP-1,0.9661017,TPANIC_RS02370
LMNP-1,1,TPANIC_RS02405
LMNP-1,1,TPANIC_RS02520
LMNP-1,0.9593558,TPANIC_RS02695
LMNP-1,1,TPANIC_RS02820
LMNP-1,1,TPANIC_RS02830
LMNP-1,1,TPANIC_RS03015
LMNP-1,0.7290419,TPANIC_RS03060
LMNP-1,0.9327502,TPANIC_RS03065
LMNP-1,0.7724077,TPANIC_RS03070
LMNP-1,1,TPANIC_RS03170
LMNP-1,1,TPANIC_RS03175
LMNP-1,1,TPANIC_RS03245
LMNP-1,1,TPANIC_RS03475
LMNP-1,0.9135053,TPANIC_RS03635
LMNP-1,0.9776453,TPANIC_RS03715
LMNP-1,1,TPANIC_RS03720
LMNP-1,0.9990357,TPANIC_RS03800
LMNP-1,1,TPANIC_RS03805
LMNP-1,1,TPANIC_RS03940
LMNP-1,1,TPANIC_RS04050
LMNP-1,0.995777,TPANIC_RS04235
LMNP-1,0.9229466,TPANIC_RS04240
LMNP-1,0.9885445,TPANIC_RS04245
LMNP-1,0.981237,TPANIC_RS04270
LMNP-1,0.7802632,TPANIC_RS04420
LMNP-1,1,TPANIC_RS04710
LMNP-1,1,TPANIC_RS04715
LMNP-1,1,TPANIC_RS04720
LMNP-1,1,TPANIC_RS04760
LMNP-1,0.9967804,TPANIC_RS04765
LMNP-1,0.9790257,TPANIC_RS04770
LMNP-1,1,TPANIC_RS04775
LMNP-1,1,TPANIC_RS04780
LMNP-1,1,TPANIC_RS04995
LMNP-1,1,TPANIC_RS05015
LMNP-1,0.8430837,TPANIC_RS05095
LMNP-1,0,TPANIC_RS05095-377bp-del
LMNP-1,1,TPANIC_RS05130
M2,1,TPANIC_RS05525
M2,1,TPANIC_RS05530
M2,1,TPANIC_RS05535
M2,1,TPANIC_RS00045
M2,1,TPANIC_RS00200
M2,1,TPANIC_RS00450
M2,1,TPANIC_RS00560
M2,0.9877505,TPANIC_RS00590
M2,1,TPANIC_RS00635
M2,0.9877505,TPANIC_RS00665
M2,0.9537337,TPANIC_RS00675
M2,1,TPANIC_RS00680
M2,0.4579691,TPANIC_RS00695
M2,1,TPANIC_RS00795
M2,1,TPANIC_RS00830
M2,1,TPANIC_RS00870
M2,1,TPANIC_RS01295
M2,1,TPANIC_RS01455
M2,1,TPANIC_RS01480
M2,1,TPANIC_RS01545
M2,0.9681742,TPANIC_RS01555 
M2,1,TPANIC_RS01560
M2,0.9996021,TPANIC_RS01590
M2,1,TPANIC_RS01595
M2,1,TPANIC_RS02115
M2,1,TPANIC_RS02120
M2,1,TPANIC_RS02210
M2,0.6452119,TPANIC_RS02260
M2,0.9876136,TPANIC_RS02345
M2,0.9917225,TPANIC_RS02370
M2,1,TPANIC_RS02405
M2,1,TPANIC_RS02520
M2,0.9815951,TPANIC_RS02695
M2,1,TPANIC_RS02820
M2,1,TPANIC_RS02830
M2,1,TPANIC_RS03015
M2,0.7964072,TPANIC_RS03060
M2,1,TPANIC_RS03065
M2,0.7671353,TPANIC_RS03070
M2,1,TPANIC_RS03170
M2,1,TPANIC_RS03175
M2,1,TPANIC_RS03245
M2,1,TPANIC_RS03475
M2,1,TPANIC_RS03635
M2,1,TPANIC_RS03715
M2,1,TPANIC_RS03720
M2,1,TPANIC_RS03800
M2,1,TPANIC_RS03805
M2,1,TPANIC_RS03940
M2,1,TPANIC_RS04050
M2,1,TPANIC_RS04235
M2,0.9729043,TPANIC_RS04240
M2,1,TPANIC_RS04245
M2,0.9874913,TPANIC_RS04270
M2,0.75,TPANIC_RS04420
M2,1,TPANIC_RS04710
M2,1,TPANIC_RS04715
M2,1,TPANIC_RS04720
M2,1,TPANIC_RS04760
M2,1,TPANIC_RS04765
M2,1,TPANIC_RS04770
M2,1,TPANIC_RS04775
M2,1,TPANIC_RS04780
M2,1,TPANIC_RS04995
M2,1,TPANIC_RS05015
M2,0.8501914,TPANIC_RS05095
M2,0,TPANIC_RS05095-377bp-del
M2,1,TPANIC_RS05130
M3,1,TPANIC_RS05525
M3,1,TPANIC_RS05530
M3,1,TPANIC_RS05535
M3,1,TPANIC_RS00045
M3,1,TPANIC_RS00200
M3,1,TPANIC_RS00450
M3,1,TPANIC_RS00560
M3,0.9855234,TPANIC_RS00590
M3,1,TPANIC_RS00635
M3,0.9855234,TPANIC_RS00665
M3,0.9391234,TPANIC_RS00675
M3,1,TPANIC_RS00680
M3,0.4579691,TPANIC_RS00695
M3,1,TPANIC_RS00795
M3,1,TPANIC_RS00830
M3,1,TPANIC_RS00870
M3,1,TPANIC_RS01295
M3,1,TPANIC_RS01455
M3,1,TPANIC_RS01480
M3,1,TPANIC_RS01545
M3,0.9974874,TPANIC_RS01555 
M3,1,TPANIC_RS01560
M3,1,TPANIC_RS01590
M3,1,TPANIC_RS01595
M3,1,TPANIC_RS02115
M3,1,TPANIC_RS02120
M3,1,TPANIC_RS02210
M3,0.7810047,TPANIC_RS02260
M3,0.9777044,TPANIC_RS02345
M3,0.9913284,TPANIC_RS02370
M3,1,TPANIC_RS02405
M3,1,TPANIC_RS02520
M3,0.9325153,TPANIC_RS02695
M3,1,TPANIC_RS02820
M3,1,TPANIC_RS02830
M3,1,TPANIC_RS03015
M3,0.7784431,TPANIC_RS03060
M3,1,TPANIC_RS03065
M3,0.7658172,TPANIC_RS03070
M3,1,TPANIC_RS03170
M3,1,TPANIC_RS03175
M3,1,TPANIC_RS03245
M3,1,TPANIC_RS03475
M3,1,TPANIC_RS03635
M3,1,TPANIC_RS03715
M3,1,TPANIC_RS03720
M3,1,TPANIC_RS03800
M3,1,TPANIC_RS03805
M3,1,TPANIC_RS03940
M3,1,TPANIC_RS04050
M3,1,TPANIC_RS04235
M3,0.9729043,TPANIC_RS04240
M3,1,TPANIC_RS04245
M3,0.9972203,TPANIC_RS04270
M3,0.6868421,TPANIC_RS04420
M3,1,TPANIC_RS04710
M3,1,TPANIC_RS04715
M3,1,TPANIC_RS04720
M3,1,TPANIC_RS04760
M3,1,TPANIC_RS04765
M3,1,TPANIC_RS04770
M3,1,TPANIC_RS04775
M3,1,TPANIC_RS04780
M3,1,TPANIC_RS04995
M3,1,TPANIC_RS05015
M3,0.8490978,TPANIC_RS05095
M3,0,TPANIC_RS05095-377bp-del
M3,1,TPANIC_RS05130
Mexico-A,1,TPANIC_RS05525
Mexico-A,1,TPANIC_RS05530
Mexico-A,1,TPANIC_RS05535
Mexico-A,1,TPANIC_RS00045
Mexico-A,1,TPANIC_RS00200
Mexico-A,1,TPANIC_RS00450
Mexico-A,1,TPANIC_RS00560
Mexico-A,1,TPANIC_RS00590
Mexico-A,1,TPANIC_RS00635
Mexico-A,1,TPANIC_RS00665
Mexico-A,1,TPANIC_RS00675
Mexico-A,1,TPANIC_RS00680
Mexico-A,0.9804977,TPANIC_RS00695
Mexico-A,1,TPANIC_RS00795
Mexico-A,1,TPANIC_RS00830
Mexico-A,1,TPANIC_RS00870
Mexico-A,1,TPANIC_RS01295
Mexico-A,1,TPANIC_RS01455
Mexico-A,1,TPANIC_RS01480
Mexico-A,1,TPANIC_RS01545
Mexico-A,1,TPANIC_RS01555 
Mexico-A,1,TPANIC_RS01560
Mexico-A,0.9984083,TPANIC_RS01590
Mexico-A,1,TPANIC_RS01595
Mexico-A,1,TPANIC_RS02115
Mexico-A,1,TPANIC_RS02120
Mexico-A,1,TPANIC_RS02210
Mexico-A,1,TPANIC_RS02260
Mexico-A,1,TPANIC_RS02345
Mexico-A,1,TPANIC_RS02370
Mexico-A,1,TPANIC_RS02405
Mexico-A,1,TPANIC_RS02520
Mexico-A,0.9969325,TPANIC_RS02695
Mexico-A,1,TPANIC_RS02820
Mexico-A,1,TPANIC_RS02830
Mexico-A,1,TPANIC_RS03015
Mexico-A,1,TPANIC_RS03060
Mexico-A,1,TPANIC_RS03065
Mexico-A,1,TPANIC_RS03070
Mexico-A,1,TPANIC_RS03170
Mexico-A,1,TPANIC_RS03175
Mexico-A,1,TPANIC_RS03245
Mexico-A,1,TPANIC_RS03475
Mexico-A,1,TPANIC_RS03635
Mexico-A,1,TPANIC_RS03715
Mexico-A,1,TPANIC_RS03720
Mexico-A,1,TPANIC_RS03800
Mexico-A,1,TPANIC_RS03805
Mexico-A,1,TPANIC_RS03940
Mexico-A,1,TPANIC_RS04050
Mexico-A,1,TPANIC_RS04235
Mexico-A,1,TPANIC_RS04240
Mexico-A,1,TPANIC_RS04245
Mexico-A,1,TPANIC_RS04270
Mexico-A,0.9842106,TPANIC_RS04420
Mexico-A,1,TPANIC_RS04710
Mexico-A,1,TPANIC_RS04715
Mexico-A,1,TPANIC_RS04720
Mexico-A,1,TPANIC_RS04760
Mexico-A,1,TPANIC_RS04765
Mexico-A,1,TPANIC_RS04770
Mexico-A,1,TPANIC_RS04775
Mexico-A,1,TPANIC_RS04780
Mexico-A,1,TPANIC_RS04995
Mexico-A,1,TPANIC_RS05015
Mexico-A,1,TPANIC_RS05095
Mexico-A,1,TPANIC_RS05095-377bp-del
Mexico-A,1,TPANIC_RS05130
MXV001,0.9891304,TPANIC_RS05525
MXV001,1,TPANIC_RS05530
MXV001,1,TPANIC_RS05535
MXV001,1,TPANIC_RS00045
MXV001,1,TPANIC_RS00200
MXV001,1,TPANIC_RS00450
MXV001,1,TPANIC_RS00560
MXV001,0.9716036,TPANIC_RS00590
MXV001,1,TPANIC_RS00635
MXV001,0.9710467,TPANIC_RS00665
MXV001,0.8352273,TPANIC_RS00675
MXV001,0.9424779,TPANIC_RS00680
MXV001,0.932078,TPANIC_RS00695
MXV001,1,TPANIC_RS00795
MXV001,1,TPANIC_RS00830
MXV001,1,TPANIC_RS00870
MXV001,1,TPANIC_RS01295
MXV001,1,TPANIC_RS01455
MXV001,1,TPANIC_RS01480
MXV001,1,TPANIC_RS01545
MXV001,1,TPANIC_RS01555 
MXV001,0.9947137,TPANIC_RS01560
MXV001,0.9956228,TPANIC_RS01590
MXV001,1,TPANIC_RS01595
MXV001,0.9658214,TPANIC_RS02115
MXV001,1,TPANIC_RS02120
MXV001,1,TPANIC_RS02210
MXV001,1,TPANIC_RS02260
MXV001,1,TPANIC_RS02345
MXV001,0.9972408,TPANIC_RS02370
MXV001,1,TPANIC_RS02405
MXV001,0.9989916,TPANIC_RS02520
MXV001,0.9601227,TPANIC_RS02695
MXV001,1,TPANIC_RS02820
MXV001,1,TPANIC_RS02830
MXV001,1,TPANIC_RS03015
MXV001,1,TPANIC_RS03060
MXV001,0.9814106,TPANIC_RS03065
MXV001,0.7882249,TPANIC_RS03070
MXV001,1,TPANIC_RS03170
MXV001,1,TPANIC_RS03175
MXV001,1,TPANIC_RS03245
MXV001,1,TPANIC_RS03475
MXV001,0.9848255,TPANIC_RS03635
MXV001,1,TPANIC_RS03715
MXV001,1,TPANIC_RS03720
MXV001,1,TPANIC_RS03800
MXV001,1,TPANIC_RS03805
MXV001,1,TPANIC_RS03940
MXV001,1,TPANIC_RS04050
MXV001,0.9983108,TPANIC_RS04235
MXV001,0.9872989,TPANIC_RS04240
MXV001,0.9885445,TPANIC_RS04245
MXV001,0.9416261,TPANIC_RS04270
MXV001,0.9171053,TPANIC_RS04420
MXV001,1,TPANIC_RS04710
MXV001,1,TPANIC_RS04715
MXV001,1,TPANIC_RS04720
MXV001,1,TPANIC_RS04760
MXV001,0.9916291,TPANIC_RS04765
MXV001,1,TPANIC_RS04770
MXV001,1,TPANIC_RS04775
MXV001,1,TPANIC_RS04780
MXV001,1,TPANIC_RS04995
MXV001,1,TPANIC_RS05015
MXV001,0.958994,TPANIC_RS05095
MXV001,0.9806452,TPANIC_RS05095-377bp-del
MXV001,1,TPANIC_RS05130
Nichols,1,TPANIC_RS05525
Nichols,1,TPANIC_RS05530
Nichols,1,TPANIC_RS05535
Nichols,1,TPANIC_RS00045
Nichols,1,TPANIC_RS00200
Nichols,1,TPANIC_RS00450
Nichols,1,TPANIC_RS00560
Nichols,1,TPANIC_RS00590
Nichols,1,TPANIC_RS00635
Nichols,1,TPANIC_RS00665
Nichols,1,TPANIC_RS00675
Nichols,1,TPANIC_RS00680
Nichols,1,TPANIC_RS00695
Nichols,1,TPANIC_RS00795
Nichols,1,TPANIC_RS00830
Nichols,1,TPANIC_RS00870
Nichols,1,TPANIC_RS01295
Nichols,1,TPANIC_RS01455
Nichols,1,TPANIC_RS01480
Nichols,1,TPANIC_RS01545
Nichols,1,TPANIC_RS01555 
Nichols,0.9977974,TPANIC_RS01560
Nichols,1,TPANIC_RS01590
Nichols,1,TPANIC_RS01595
Nichols,1,TPANIC_RS02115
Nichols,1,TPANIC_RS02120
Nichols,1,TPANIC_RS02210
Nichols,0.9992151,TPANIC_RS02260
Nichols,1,TPANIC_RS02345
Nichols,1,TPANIC_RS02370
Nichols,1,TPANIC_RS02405
Nichols,1,TPANIC_RS02520
Nichols,1,TPANIC_RS02695
Nichols,1,TPANIC_RS02820
Nichols,1,TPANIC_RS02830
Nichols,1,TPANIC_RS03015
Nichols,1,TPANIC_RS03060
Nichols,1,TPANIC_RS03065
Nichols,1,TPANIC_RS03070
Nichols,1,TPANIC_RS03170
Nichols,1,TPANIC_RS03175
Nichols,1,TPANIC_RS03245
Nichols,1,TPANIC_RS03475
Nichols,1,TPANIC_RS03635
Nichols,1,TPANIC_RS03715
Nichols,1,TPANIC_RS03720
Nichols,1,TPANIC_RS03800
Nichols,1,TPANIC_RS03805
Nichols,1,TPANIC_RS03940
Nichols,1,TPANIC_RS04050
Nichols,1,TPANIC_RS04235
Nichols,1,TPANIC_RS04240
Nichols,1,TPANIC_RS04245
Nichols,0.9854065,TPANIC_RS04270
Nichols,0.8993421,TPANIC_RS04420
Nichols,1,TPANIC_RS04710
Nichols,1,TPANIC_RS04715
Nichols,1,TPANIC_RS04720
Nichols,1,TPANIC_RS04760
Nichols,0.9980683,TPANIC_RS04765
Nichols,1,TPANIC_RS04770
Nichols,1,TPANIC_RS04775
Nichols,1,TPANIC_RS04780
Nichols,1,TPANIC_RS04995
Nichols,1,TPANIC_RS05015
Nichols,1,TPANIC_RS05095
Nichols,1,TPANIC_RS05095-377bp-del
Nichols,1,TPANIC_RS05130
SS14,1,TPANIC_RS05525
SS14,1,TPANIC_RS05530
SS14,1,TPANIC_RS05535
SS14,1,TPANIC_RS00045
SS14,1,TPANIC_RS00200
SS14,1,TPANIC_RS00450
SS14,1,TPANIC_RS00560
SS14,0.9877505,TPANIC_RS00590
SS14,1,TPANIC_RS00635
SS14,1,TPANIC_RS00665
SS14,0.9991883,TPANIC_RS00675
SS14,1,TPANIC_RS00680
SS14,0.9219906,TPANIC_RS00695
SS14,1,TPANIC_RS00795
SS14,1,TPANIC_RS00830
SS14,1,TPANIC_RS00870
SS14,1,TPANIC_RS01295
SS14,1,TPANIC_RS01455
SS14,1,TPANIC_RS01480
SS14,1,TPANIC_RS01545
SS14,1,TPANIC_RS01555 
SS14,1,TPANIC_RS01560
SS14,0.9757262,TPANIC_RS01590
SS14,1,TPANIC_RS01595
SS14,1,TPANIC_RS02115
SS14,1,TPANIC_RS02120
SS14,1,TPANIC_RS02210
SS14,0.9929357,TPANIC_RS02260
SS14,1,TPANIC_RS02345
SS14,1,TPANIC_RS02370
SS14,1,TPANIC_RS02405
SS14,0.9969748,TPANIC_RS02520
SS14,0.9539877,TPANIC_RS02695
SS14,1,TPANIC_RS02820
SS14,1,TPANIC_RS02830
SS14,1,TPANIC_RS03015
SS14,1,TPANIC_RS03060
SS14,1,TPANIC_RS03065
SS14,1,TPANIC_RS03070
SS14,1,TPANIC_RS03170
SS14,1,TPANIC_RS03175
SS14,1,TPANIC_RS03245
SS14,1,TPANIC_RS03475
SS14,1,TPANIC_RS03635
SS14,1,TPANIC_RS03715
SS14,1,TPANIC_RS03720
SS14,1,TPANIC_RS03800
SS14,0.9928352,TPANIC_RS03805
SS14,1,TPANIC_RS03940
SS14,1,TPANIC_RS04050
SS14,1,TPANIC_RS04235
